,ID,ProbNF,ProbF,y,yhat
88,101,0.94,0.06,0,0
89,1010,0.98,0.02,0,0
90,10100,0.93,0.07,0,0
91,10101,0.9,0.1,0,0
92,10102,0.97,0.03,0,0
93,10104,0.93,0.07,0,0
94,10106,0.73,0.27,0,0
95,10107,0.99,0.01,0,0
96,10108,0.91,0.09,0,0
97,10110,0.95,0.05,0,0
98,10111,1.0,0.0,0,0
99,10115,0.74,0.26,0,0
100,10116,0.86,0.14,0,0
101,10118,0.93,0.07,0,0
102,10119,0.09,0.91,0,1
103,1012,0.64,0.36,0,0
104,10120,1.0,0.0,0,0
105,10122,0.1,0.9,0,1
106,10124,0.99,0.01,0,0
107,10125,1.0,0.0,0,0
108,10126,0.75,0.25,0,0
109,10127,0.98,0.02,0,0
110,10128,0.99,0.01,0,0
111,10129,0.99,0.01,0,0
112,1013,1.0,0.0,0,0
113,10130,0.96,0.04,0,0
114,10131,0.12,0.88,0,1
115,10132,0.68,0.32,0,0
116,10133,1.0,0.0,0,0
117,10134,0.94,0.06,0,0
118,10135,0.82,0.18,0,0
119,10137,1.0,0.0,0,0
120,10138,0.84,0.16,0,0
121,10139,0.14,0.86,0,1
122,1014,0.94,0.06,0,0
123,10140,0.76,0.24,0,0
124,10141,1.0,0.0,0,0
125,10142,1.0,0.0,0,0
126,10143,1.0,0.0,0,0
127,10144,0.99,0.01,0,0
128,10145,1.0,0.0,0,0
129,10146,0.91,0.09,0,0
130,10147,0.98,0.02,0,0
131,10148,0.94,0.06,0,0
132,10149,0.26,0.74,0,1
133,1015,0.96,0.04,0,0
134,10151,1.0,0.0,0,0
135,10153,1.0,0.0,0,0
136,10154,1.0,0.0,0,0
137,10156,0.05,0.95,0,1
138,10157,0.96,0.04,0,0
139,10158,0.98,0.02,0,0
140,10159,0.99,0.01,0,0
141,10160,1.0,0.0,0,0
142,10161,0.96,0.04,0,0
143,10162,1.0,0.0,0,0
144,10163,0.21,0.79,0,1
145,10164,0.99,0.01,0,0
146,10165,0.79,0.21,0,0
147,10166,0.98,0.02,0,0
148,10168,1.0,0.0,0,0
149,10169,0.87,0.13,0,0
150,10170,0.99,0.01,0,0
151,10171,1.0,0.0,0,0
152,10172,0.41,0.59,0,1
153,10174,0.66,0.34,0,0
154,10175,1.0,0.0,0,0
155,10177,0.82,0.18,0,0
156,10178,1.0,0.0,0,0
157,10179,0.76,0.24,0,0
158,1018,0.79,0.21,0,0
159,10180,0.88,0.12,0,0
160,10181,0.29,0.71,0,1
161,10183,0.84,0.16,0,0
162,10184,0.85,0.15,0,0
163,10185,0.98,0.02,0,0
164,10187,0.79,0.21,0,0
165,10188,0.91,0.09,0,0
166,10189,0.62,0.38,0,0
167,1019,0.95,0.05,0,0
168,10190,0.99,0.01,0,0
169,10191,0.92,0.08,0,0
170,10192,0.95,0.05,0,0
171,10193,1.0,0.0,0,0
172,10194,0.94,0.06,0,0
173,10195,0.95,0.05,0,0
174,10196,0.62,0.38,0,0
175,10198,0.99,0.01,0,0
176,10199,0.91,0.09,0,0
177,102,0.94,0.06,0,0
178,1020,0.51,0.49,0,0
179,10200,0.34,0.66,0,1
180,10201,1.0,0.0,0,0
181,10202,0.9,0.1,0,0
182,10203,0.67,0.33,0,0
183,10204,1.0,0.0,0,0
184,10205,1.0,0.0,0,0
185,10206,0.97,0.03,0,0
186,10209,1.0,0.0,0,0
187,1021,0.95,0.05,0,0
188,10210,0.99,0.01,0,0
189,10211,0.97,0.03,0,0
190,10212,0.08,0.92,0,1
191,10213,1.0,0.0,0,0
192,10214,1.0,0.0,0,0
193,10215,0.49,0.51,0,1
194,10216,0.9,0.1,0,0
195,10217,0.99,0.01,0,0
196,10219,0.99,0.01,0,0
197,1022,1.0,0.0,0,0
198,10220,0.95,0.05,0,0
199,10221,0.83,0.17,0,0
200,10222,0.89,0.11,0,0
201,10223,0.82,0.18,0,0
202,10224,0.97,0.03,0,0
203,10226,0.91,0.09,0,0
204,10227,1.0,0.0,0,0
205,10228,0.69,0.31,0,0
206,10229,1.0,0.0,0,0
207,1023,0.95,0.05,0,0
208,10231,1.0,0.0,0,0
209,10232,1.0,0.0,0,0
210,10233,0.97,0.03,0,0
211,10234,0.94,0.06,0,0
212,10235,0.4,0.6,0,1
213,10236,0.94,0.06,0,0
214,10237,0.95,0.05,0,0
215,10238,0.77,0.23,0,0
216,10239,0.74,0.26,0,0
217,1024,0.99,0.01,0,0
218,10240,0.9,0.1,0,0
219,10241,0.86,0.14,0,0
220,10242,0.98,0.02,0,0
221,10243,0.86,0.14,0,0
222,10244,0.98,0.02,0,0
223,10245,0.92,0.08,0,0
224,10246,1.0,0.0,0,0
225,10247,0.96,0.04,0,0
226,10248,1.0,0.0,0,0
227,10249,0.98,0.02,0,0
228,10254,0.9,0.1,0,0
229,10255,1.0,0.0,0,0
230,10258,0.98,0.02,0,0
231,10259,0.7,0.3,0,0
232,1026,0.7,0.3,0,0
233,10260,0.99,0.01,0,0
234,10263,0.86,0.14,0,0
235,10265,0.85,0.15,0,0
236,10266,1.0,0.0,0,0
237,10267,0.98,0.02,0,0
238,1027,0.99,0.01,0,0
239,10271,0.82,0.18,0,0
240,10272,0.83,0.17,0,0
241,10273,1.0,0.0,0,0
242,10274,1.0,0.0,0,0
243,10275,0.99,0.01,0,0
244,10277,1.0,0.0,0,0
245,10278,1.0,0.0,0,0
246,1028,0.98,0.02,0,0
247,10280,0.94,0.06,0,0
248,10281,0.38,0.62,0,1
249,10283,0.95,0.05,0,0
250,10287,0.7,0.3,0,0
251,10288,0.9,0.1,0,0
252,10289,0.99,0.01,0,0
253,1029,0.93,0.07,0,0
254,10290,0.93,0.07,0,0
255,10291,0.97,0.03,0,0
256,10292,0.92,0.08,0,0
257,10293,0.9,0.1,0,0
258,10294,0.81,0.19,0,0
259,10295,0.92,0.08,0,0
260,10296,1.0,0.0,0,0
261,10297,0.99,0.01,0,0
262,10298,1.0,0.0,0,0
263,103,0.85,0.15,0,0
264,1030,0.98,0.02,0,0
265,10301,0.99,0.01,0,0
266,10302,0.96,0.04,0,0
267,10303,0.99,0.01,0,0
268,10304,0.99,0.01,0,0
269,10306,0.99,0.01,0,0
270,10307,0.06,0.94,0,1
271,1031,1.0,0.0,0,0
272,10310,0.98,0.02,0,0
273,10311,1.0,0.0,0,0
274,10312,0.93,0.07,0,0
275,10313,0.97,0.03,0,0
276,10315,1.0,0.0,0,0
277,10316,1.0,0.0,0,0
278,10317,0.99,0.01,0,0
279,10319,0.47,0.53,0,1
280,10320,0.95,0.05,0,0
281,10321,0.99,0.01,0,0
282,10323,0.9,0.1,0,0
283,10324,0.99,0.01,0,0
284,10325,0.41,0.59,0,1
285,10326,0.98,0.02,0,0
286,10327,0.03,0.97,0,1
287,10329,0.85,0.15,0,0
288,1033,1.0,0.0,0,0
289,10330,0.99,0.01,0,0
290,10334,0.7,0.3,0,0
291,10335,0.93,0.07,0,0
292,10336,1.0,0.0,0,0
293,10338,1.0,0.0,0,0
294,10339,0.95,0.05,0,0
295,1034,0.98,0.02,0,0
296,10340,1.0,0.0,0,0
297,10341,0.96,0.04,0,0
298,10343,0.95,0.05,0,0
299,10344,1.0,0.0,0,0
300,10346,0.92,0.08,0,0
301,10347,0.97,0.03,0,0
302,10348,0.33,0.67,0,1
303,10349,0.86,0.14,0,0
304,10350,0.86,0.14,0,0
305,10351,0.99,0.01,0,0
306,10352,0.9,0.1,0,0
307,10353,1.0,0.0,0,0
308,10354,0.74,0.26,0,0
309,10355,0.5,0.5,0,0
310,10356,0.94,0.06,0,0
311,10357,1.0,0.0,0,0
312,10358,0.78,0.22,0,0
313,10359,1.0,0.0,0,0
314,1036,1.0,0.0,0,0
315,10360,0.64,0.36,0,0
316,10361,1.0,0.0,0,0
317,10362,0.66,0.34,0,0
318,10363,0.99,0.01,0,0
319,10364,0.76,0.24,0,0
320,10365,0.97,0.03,0,0
321,10367,0.81,0.19,0,0
322,1037,0.78,0.22,0,0
323,10371,0.97,0.03,0,0
324,10372,0.83,0.17,0,0
325,10373,1.0,0.0,0,0
326,10374,0.13,0.87,0,1
327,10375,0.02,0.98,0,1
328,10377,0.57,0.43,0,0
329,10378,0.94,0.06,0,0
330,10379,0.78,0.22,0,0
331,1038,1.0,0.0,0,0
332,10380,0.94,0.06,0,0
333,10381,1.0,0.0,0,0
334,10382,1.0,0.0,0,0
335,10383,0.43,0.57,0,1
336,10385,1.0,0.0,0,0
337,10388,0.69,0.31,0,0
338,10389,1.0,0.0,0,0
339,10390,0.98,0.02,0,0
340,10391,0.99,0.01,0,0
341,10392,0.99,0.01,0,0
342,10393,0.98,0.02,0,0
343,10394,1.0,0.0,0,0
344,10395,0.84,0.16,0,0
345,10396,0.96,0.04,0,0
346,10397,0.97,0.03,0,0
347,10398,0.51,0.49,0,0
348,10399,0.97,0.03,0,0
349,104,0.98,0.02,0,0
350,1040,0.89,0.11,0,0
351,10400,0.99,0.01,0,0
352,10401,0.96,0.04,0,0
353,10402,0.96,0.04,0,0
354,10404,0.8,0.2,0,0
355,10405,0.98,0.02,0,0
356,10406,0.99,0.01,0,0
357,10407,0.97,0.03,0,0
358,1041,0.6,0.4,0,0
359,10410,1.0,0.0,0,0
360,10411,1.0,0.0,0,0
361,10412,0.66,0.34,0,0
362,10413,0.95,0.05,0,0
363,10414,0.93,0.07,0,0
364,10415,0.95,0.05,0,0
365,10416,0.57,0.43,0,0
366,10417,0.39,0.61,0,1
367,10418,0.98,0.02,0,0
368,10419,1.0,0.0,0,0
369,1042,0.95,0.05,0,0
370,10421,0.98,0.02,0,0
371,10422,0.67,0.33,0,0
372,10424,0.89,0.11,0,0
373,10425,0.99,0.01,0,0
374,10426,1.0,0.0,0,0
375,10427,0.84,0.16,0,0
376,10428,0.87,0.13,0,0
377,10429,0.84,0.16,0,0
378,1043,0.88,0.12,0,0
379,10431,0.82,0.18,0,0
380,10432,1.0,0.0,0,0
381,10433,0.87,0.13,0,0
382,10435,1.0,0.0,0,0
383,10436,0.89,0.11,0,0
384,10437,1.0,0.0,0,0
385,10438,0.98,0.02,0,0
386,10439,1.0,0.0,0,0
387,1044,1.0,0.0,0,0
388,10440,0.98,0.02,0,0
389,10441,1.0,0.0,0,0
390,10442,0.18,0.82,0,1
391,10443,0.89,0.11,0,0
392,10444,0.8,0.2,0,0
393,10445,0.96,0.04,0,0
394,10446,0.65,0.35,0,0
395,10447,0.99,0.01,0,0
396,10448,0.8,0.2,0,0
397,10449,0.28,0.72,0,1
398,1045,0.85,0.15,0,0
399,10450,0.91,0.09,0,0
400,10451,0.96,0.04,0,0
401,10452,0.98,0.02,0,0
402,10453,0.89,0.11,0,0
403,10454,1.0,0.0,0,0
404,10455,0.42,0.58,0,1
405,10456,0.63,0.37,0,0
406,10457,1.0,0.0,0,0
407,10458,0.99,0.01,0,0
408,1046,1.0,0.0,0,0
409,10460,1.0,0.0,0,0
410,10461,1.0,0.0,0,0
411,10462,0.95,0.05,0,0
412,10463,0.69,0.31,0,0
413,10464,0.99,0.01,0,0
414,10466,1.0,0.0,0,0
415,10468,0.97,0.03,0,0
416,1047,0.74,0.26,0,0
417,10470,0.68,0.32,0,0
418,10471,1.0,0.0,0,0
419,10472,0.72,0.28,0,0
420,10473,0.84,0.16,0,0
421,10474,0.93,0.07,0,0
422,10475,0.99,0.01,0,0
423,10476,0.58,0.42,0,0
424,10477,1.0,0.0,0,0
425,10478,0.96,0.04,0,0
426,10479,0.98,0.02,0,0
427,10480,0.98,0.02,0,0
428,10481,0.98,0.02,0,0
429,10482,0.99,0.01,0,0
430,10484,1.0,0.0,0,0
431,10485,0.97,0.03,0,0
432,10486,0.76,0.24,0,0
433,10487,0.77,0.23,0,0
434,10489,0.97,0.03,0,0
435,1049,1.0,0.0,0,0
436,10491,0.96,0.04,0,0
437,10492,0.98,0.02,0,0
438,10493,0.88,0.12,0,0
439,10496,1.0,0.0,0,0
440,10497,1.0,0.0,0,0
441,10498,1.0,0.0,0,0
442,10499,0.88,0.12,0,0
443,105,0.98,0.02,0,0
444,1050,0.98,0.02,0,0
445,10500,0.99,0.01,0,0
446,10501,0.88,0.12,0,0
447,10503,0.5,0.5,0,0
448,10504,0.98,0.02,0,0
449,10506,0.95,0.05,0,0
450,10507,0.95,0.05,0,0
451,10508,0.98,0.02,0,0
452,10509,0.99,0.01,0,0
453,1051,0.97,0.03,0,0
454,10510,1.0,0.0,0,0
455,10511,0.85,0.15,0,0
456,10512,0.99,0.01,0,0
457,10513,0.94,0.06,0,0
458,10514,1.0,0.0,0,0
459,10515,1.0,0.0,0,0
460,10517,0.29,0.71,0,1
461,10518,1.0,0.0,0,0
462,10519,0.76,0.24,0,0
463,1052,0.98,0.02,0,0
464,10520,0.38,0.62,0,1
465,10521,0.83,0.17,0,0
466,10522,1.0,0.0,0,0
467,10523,0.98,0.02,0,0
468,10524,0.87,0.13,0,0
469,10525,1.0,0.0,0,0
470,10527,0.58,0.42,0,0
471,10528,1.0,0.0,0,0
472,10529,0.86,0.14,0,0
473,1053,1.0,0.0,0,0
474,10530,0.44,0.56,0,1
475,10531,0.93,0.07,0,0
476,10532,0.99,0.01,0,0
477,10535,0.99,0.01,0,0
478,10536,0.44,0.56,0,1
479,10537,1.0,0.0,0,0
480,10538,1.0,0.0,0,0
481,10542,0.85,0.15,0,0
482,10543,0.99,0.01,0,0
483,10545,1.0,0.0,0,0
484,10546,0.96,0.04,0,0
485,10547,1.0,0.0,0,0
486,10549,1.0,0.0,0,0
487,1055,0.96,0.04,0,0
488,10550,1.0,0.0,0,0
489,10553,1.0,0.0,0,0
490,10555,1.0,0.0,0,0
491,10556,0.87,0.13,0,0
492,10557,0.92,0.08,0,0
493,10558,0.89,0.11,0,0
494,10559,0.71,0.29,0,0
495,1056,1.0,0.0,0,0
496,10560,0.98,0.02,0,0
497,10561,0.85,0.15,0,0
498,10562,0.88,0.12,0,0
499,10563,0.8,0.2,0,0
500,10565,1.0,0.0,0,0
501,10566,0.84,0.16,0,0
502,10567,0.99,0.01,0,0
503,10568,1.0,0.0,0,0
504,10569,0.9,0.1,0,0
505,1057,0.98,0.02,0,0
506,10570,0.57,0.43,0,0
507,10573,0.96,0.04,0,0
508,10574,1.0,0.0,0,0
509,10578,0.87,0.13,0,0
510,10579,0.99,0.01,0,0
511,1058,0.97,0.03,0,0
512,10580,0.94,0.06,0,0
513,10581,0.64,0.36,0,0
514,10582,0.98,0.02,0,0
515,10584,0.91,0.09,0,0
516,10585,1.0,0.0,0,0
517,10586,0.29,0.71,0,1
518,10587,0.63,0.37,0,0
519,10588,0.68,0.32,0,0
520,10589,0.54,0.46,0,0
521,1059,0.07,0.93,0,1
522,10590,0.99,0.01,0,0
523,10591,0.94,0.06,0,0
524,10592,1.0,0.0,0,0
525,10593,0.99,0.01,0,0
526,10594,1.0,0.0,0,0
527,10595,0.99,0.01,0,0
528,10596,0.76,0.24,0,0
529,10597,1.0,0.0,0,0
530,10598,0.54,0.46,0,0
531,10599,0.98,0.02,0,0
532,106,0.98,0.02,0,0
533,1060,0.9,0.1,0,0
534,10601,0.84,0.16,0,0
535,10602,1.0,0.0,0,0
536,10603,0.85,0.15,0,0
537,10605,0.89,0.11,0,0
538,10606,1.0,0.0,0,0
539,10607,1.0,0.0,0,0
540,10608,1.0,0.0,0,0
541,1061,0.39,0.61,0,1
542,10610,0.99,0.01,0,0
543,10612,0.73,0.27,0,0
544,10614,0.93,0.07,0,0
545,10617,0.81,0.19,0,0
546,10618,1.0,0.0,0,0
547,10619,0.99,0.01,0,0
548,1062,0.87,0.13,0,0
549,10622,0.99,0.01,0,0
550,10623,1.0,0.0,0,0
551,10624,0.91,0.09,0,0
552,10626,0.98,0.02,0,0
553,10627,0.77,0.23,0,0
554,10628,0.99,0.01,0,0
555,1063,0.99,0.01,0,0
556,10630,0.99,0.01,0,0
557,10632,1.0,0.0,0,0
558,10633,0.86,0.14,0,0
559,10634,0.81,0.19,0,0
560,10635,0.9,0.1,0,0
561,10637,1.0,0.0,0,0
562,10638,0.94,0.06,0,0
563,10639,0.98,0.02,0,0
564,1064,0.74,0.26,0,0
565,10640,1.0,0.0,0,0
566,10641,0.98,0.02,0,0
567,10642,0.66,0.34,0,0
568,10643,0.46,0.54,0,1
569,10644,0.98,0.02,0,0
570,10645,0.91,0.09,0,0
571,10646,0.24,0.76,0,1
572,10648,1.0,0.0,0,0
573,10649,0.96,0.04,0,0
574,1065,1.0,0.0,0,0
575,10650,1.0,0.0,0,0
576,10653,0.83,0.17,0,0
577,10654,1.0,0.0,0,0
578,10656,0.82,0.18,0,0
579,10657,0.98,0.02,0,0
580,10659,0.95,0.05,0,0
581,1066,0.51,0.49,0,0
582,10660,0.95,0.05,0,0
583,10662,0.19,0.81,0,1
584,10663,0.99,0.01,0,0
585,10664,0.99,0.01,0,0
586,10665,0.99,0.01,0,0
587,10666,1.0,0.0,0,0
588,10667,0.04,0.96,0,1
589,10668,1.0,0.0,0,0
590,10669,0.93,0.07,0,0
591,1067,0.97,0.03,0,0
592,10670,0.99,0.01,0,0
593,10671,0.98,0.02,0,0
594,10672,1.0,0.0,0,0
595,10673,1.0,0.0,0,0
596,10674,0.17,0.83,0,1
597,10675,0.94,0.06,0,0
598,10676,0.81,0.19,0,0
599,10678,0.01,0.99,0,1
600,10679,0.7,0.3,0,0
601,1068,0.51,0.49,0,0
602,10680,1.0,0.0,0,0
603,10681,0.51,0.49,0,0
604,10682,1.0,0.0,0,0
605,10683,0.99,0.01,0,0
606,10688,1.0,0.0,0,0
607,10689,0.96,0.04,0,0
608,1069,1.0,0.0,0,0
609,10690,1.0,0.0,0,0
610,10691,0.01,0.99,0,1
611,10692,0.76,0.24,0,0
612,10693,1.0,0.0,0,0
613,10694,0.99,0.01,0,0
614,10695,0.95,0.05,0,0
615,10696,0.99,0.01,0,0
616,10697,0.98,0.02,0,0
617,10699,0.15,0.85,0,1
618,1070,0.12,0.88,0,1
619,10700,0.99,0.01,0,0
620,10701,0.94,0.06,0,0
621,10703,0.76,0.24,0,0
622,10704,0.88,0.12,0,0
623,10705,0.97,0.03,0,0
624,10706,0.99,0.01,0,0
625,10709,1.0,0.0,0,0
626,1071,0.85,0.15,0,0
627,10710,0.8,0.2,0,0
628,10711,0.98,0.02,0,0
629,10714,0.98,0.02,0,0
630,10715,0.99,0.01,0,0
631,10716,1.0,0.0,0,0
632,10717,0.75,0.25,0,0
633,10719,0.65,0.35,0,0
634,1072,0.92,0.08,0,0
635,10720,0.97,0.03,0,0
636,10721,0.79,0.21,0,0
637,10722,0.69,0.31,0,0
638,10723,0.72,0.28,0,0
639,10724,0.99,0.01,0,0
640,10725,1.0,0.0,0,0
641,10726,0.73,0.27,0,0
642,10727,0.84,0.16,0,0
643,10728,0.81,0.19,0,0
644,10729,0.98,0.02,0,0
645,1073,0.09,0.91,0,1
646,10730,1.0,0.0,0,0
647,10731,0.9,0.1,0,0
648,10732,0.99,0.01,0,0
649,10733,0.92,0.08,0,0
650,10734,1.0,0.0,0,0
651,10735,0.95,0.05,0,0
652,10736,1.0,0.0,0,0
653,10738,0.88,0.12,0,0
654,10739,0.96,0.04,0,0
655,1074,0.87,0.13,0,0
656,10740,0.92,0.08,0,0
657,10741,1.0,0.0,0,0
658,10742,1.0,0.0,0,0
659,10743,0.25,0.75,0,1
660,10744,0.93,0.07,0,0
661,10745,1.0,0.0,0,0
662,10746,0.92,0.08,0,0
663,10747,0.93,0.07,0,0
664,10748,0.97,0.03,0,0
665,1075,0.91,0.09,0,0
666,10750,0.99,0.01,0,0
667,10752,0.97,0.03,0,0
668,10753,0.94,0.06,0,0
669,10754,0.88,0.12,0,0
670,10755,1.0,0.0,0,0
671,10756,0.97,0.03,0,0
672,10757,1.0,0.0,0,0
673,10758,0.99,0.01,0,0
674,10759,0.93,0.07,0,0
675,10760,1.0,0.0,0,0
676,10761,1.0,0.0,0,0
677,10762,1.0,0.0,0,0
678,10763,1.0,0.0,0,0
679,10764,1.0,0.0,0,0
680,10765,0.89,0.11,0,0
681,10766,0.78,0.22,0,0
682,10767,0.59,0.41,0,0
683,10768,1.0,0.0,0,0
684,10769,0.46,0.54,0,1
685,1077,1.0,0.0,0,0
686,10770,0.99,0.01,0,0
687,10773,0.99,0.01,0,0
688,10775,0.81,0.19,0,0
689,10776,0.99,0.01,0,0
690,10777,1.0,0.0,0,0
691,10779,0.52,0.48,0,0
692,1078,0.55,0.45,0,0
693,10780,1.0,0.0,0,0
694,10781,0.89,0.11,0,0
695,10782,0.89,0.11,0,0
696,10783,0.98,0.02,0,0
697,10784,0.99,0.01,0,0
698,10786,1.0,0.0,0,0
699,10789,0.9,0.1,0,0
700,1079,0.96,0.04,0,0
701,10790,1.0,0.0,0,0
702,10791,0.98,0.02,0,0
703,10794,0.74,0.26,0,0
704,10795,0.91,0.09,0,0
705,10796,1.0,0.0,0,0
706,10797,0.75,0.25,0,0
707,10798,0.93,0.07,0,0
708,108,0.97,0.03,0,0
709,1080,0.99,0.01,0,0
710,10801,0.83,0.17,0,0
711,10802,1.0,0.0,0,0
712,10803,0.91,0.09,0,0
713,10804,1.0,0.0,0,0
714,10805,0.62,0.38,0,0
715,10806,0.8,0.2,0,0
716,10808,1.0,0.0,0,0
717,10809,0.88,0.12,0,0
718,1081,1.0,0.0,0,0
719,10810,0.99,0.01,0,0
720,10811,1.0,0.0,0,0
721,10813,0.9,0.1,0,0
722,10814,0.9,0.1,0,0
723,10815,0.99,0.01,0,0
724,10816,0.92,0.08,0,0
725,10817,0.97,0.03,0,0
726,10818,0.95,0.05,0,0
727,10819,0.66,0.34,0,0
728,1082,0.9,0.1,0,0
729,10820,0.74,0.26,0,0
730,10822,0.99,0.01,0,0
731,10823,0.96,0.04,0,0
732,10824,0.94,0.06,0,0
733,10827,0.64,0.36,0,0
734,10828,0.86,0.14,0,0
735,10829,1.0,0.0,0,0
736,10830,0.88,0.12,0,0
737,10833,1.0,0.0,0,0
738,10834,0.45,0.55,0,1
739,10835,0.95,0.05,0,0
740,10836,0.96,0.04,0,0
741,10837,1.0,0.0,0,0
742,10838,0.73,0.27,0,0
743,10839,0.98,0.02,0,0
744,10841,0.98,0.02,0,0
745,10842,0.89,0.11,0,0
746,10844,0.4,0.6,0,1
747,10845,1.0,0.0,0,0
748,10846,1.0,0.0,0,0
749,10847,0.99,0.01,0,0
750,10848,1.0,0.0,0,0
751,10849,1.0,0.0,0,0
752,1085,0.99,0.01,0,0
753,10850,0.88,0.12,0,0
754,10851,0.45,0.55,0,1
755,10852,1.0,0.0,0,0
756,10853,1.0,0.0,0,0
757,10854,0.92,0.08,0,0
758,10855,0.79,0.21,0,0
759,10856,1.0,0.0,0,0
760,10857,0.54,0.46,0,0
761,10858,0.95,0.05,0,0
762,10859,1.0,0.0,0,0
763,10860,0.99,0.01,0,0
764,10861,0.6,0.4,0,0
765,10862,0.99,0.01,0,0
766,10863,0.86,0.14,0,0
767,10864,0.93,0.07,0,0
768,10865,0.54,0.46,0,0
769,10866,1.0,0.0,0,0
770,10867,1.0,0.0,0,0
771,10869,0.96,0.04,0,0
772,1087,0.96,0.04,0,0
773,10870,1.0,0.0,0,0
774,10871,0.63,0.37,0,0
775,10872,0.96,0.04,0,0
776,10873,0.86,0.14,0,0
777,10874,0.99,0.01,0,0
778,10876,0.12,0.88,0,1
779,10877,0.97,0.03,0,0
780,10878,0.88,0.12,0,0
781,10879,0.76,0.24,0,0
782,1088,0.94,0.06,0,0
783,10880,0.23,0.77,0,1
784,10881,0.99,0.01,0,0
785,10882,0.97,0.03,0,0
786,10883,0.96,0.04,0,0
787,10884,0.99,0.01,0,0
788,10885,0.15,0.85,0,1
789,10886,0.97,0.03,0,0
790,10887,0.89,0.11,0,0
791,10888,1.0,0.0,0,0
792,10889,1.0,0.0,0,0
793,1089,0.98,0.02,0,0
794,10890,0.99,0.01,0,0
795,10891,0.99,0.01,0,0
796,10892,0.63,0.37,0,0
797,10893,0.96,0.04,0,0
798,10894,0.97,0.03,0,0
799,10895,0.92,0.08,0,0
800,10896,0.88,0.12,0,0
801,10897,0.97,0.03,0,0
802,10898,1.0,0.0,0,0
803,10899,0.99,0.01,0,0
804,109,1.0,0.0,0,0
805,10900,1.0,0.0,0,0
806,10902,0.99,0.01,0,0
807,10903,0.99,0.01,0,0
808,10904,0.96,0.04,0,0
809,10907,0.96,0.04,0,0
810,10908,1.0,0.0,0,0
811,10909,1.0,0.0,0,0
812,1091,0.86,0.14,0,0
813,10910,0.8,0.2,0,0
814,10911,1.0,0.0,0,0
815,10912,0.82,0.18,0,0
816,10913,1.0,0.0,0,0
817,10914,1.0,0.0,0,0
818,10916,0.81,0.19,0,0
819,10917,0.51,0.49,0,0
820,10919,1.0,0.0,0,0
